slide,0.05,2000,adam,10.0,0.01,0.1,0.8488,0.6742,0.9526,0.9083411786857465,0.8901035586518546
hinge,0.05,2000,adam,10.0,0.01,0.1,0.8518,0.6835,0.9514,0.8973827904349463,0.8792807380907551
slide,0.05,2000,adam,0.0,0.01,0.01,0.8571,0.7028,0.9399,0.8773865562041048,0.8574694031255883
slide,0.05,2000,adam,0.01,0.01,0.01,0.8541,0.7013,0.9403,0.873620787045754,0.8543777066465826
slide,0.05,2000,adam,0.0,0.01,0.01,0.8571,0.7028,0.9399,0.8773865562041048,0.8574694031255883
hinge,0.05,2000,adam,0.0,0.01,0.01,0.8571,0.7028,0.9399,0.8773865562041048,0.8574694031255883
slide,0.05,2000,adam,0.01,0.01,0.01,0.8541,0.7013,0.9403,0.873620787045754,0.8543777066465826
hinge,0.05,2000,adam,0.01,0.01,0.01,0.856,0.7053,0.9445,0.8699679909621539,0.8502918471097721
slide,0.05,2000,adam,0.1,0.01,0.01,0.8531,0.6886,0.9524,0.8948032385614763,0.8749764639427603
hinge,0.05,2000,adam,0.1,0.01,0.01,0.8567,0.6997,0.9475,0.882319713801544,0.8622180380342684
slide,0.05,2000,adam,0.2,0.01,0.01,0.8529,0.686,0.948,0.8977028808134063,0.8784560346450762
hinge,0.05,2000,adam,0.2,0.01,0.01,0.8593,0.7099,0.9397,0.8734324985878364,0.8529015251365092
slide,0.05,2000,adam,0.5,0.01,0.01,0.8496,0.6768,0.9524,0.9052155902843156,0.8867482583317643
hinge,0.05,2000,adam,0.5,0.01,0.01,0.8567,0.6994,0.9465,0.8849369233665976,0.8646055356806628
slide,0.05,2000,adam,1.0,0.01,0.01,0.8514,0.6783,0.9527,0.9088872152137075,0.889873846733195
hinge,0.05,2000,adam,1.0,0.01,0.01,0.856,0.7007,0.9461,0.8797589907738657,0.8611786857465638
slide,0.05,2000,adam,2.0,0.01,0.01,0.8475,0.6691,0.9537,0.9132931651289776,0.8944530220297496
slide,0.05,2000,adam,0.0,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
hinge,0.05,2000,adam,2.0,0.01,0.01,0.8516,0.6919,0.9499,0.8849745810581812,0.865230653360949
hinge,0.05,2000,adam,0.0,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
slide,0.05,2000,adam,0.01,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
slide,0.05,2000,adam,3.0,0.01,0.01,0.8473,0.6683,0.9558,0.9136132555074375,0.8952664281679533
hinge,0.05,2000,adam,0.01,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
hinge,0.05,2000,adam,3.0,0.01,0.01,0.8529,0.6892,0.9467,0.8898512521182451,0.8713500282432687
slide,0.05,2000,adam,0.1,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
slide,0.05,2000,adam,4.0,0.01,0.01,0.8481,0.6691,0.964,0.9123328939935981,0.8950103558651854
hinge,0.05,2000,adam,0.1,0.01,0.01,0.8245,0.5947,0.9695,0.9549237431745434,0.9450950856712483
hinge,0.05,2000,adam,4.0,0.01,0.01,0.8529,0.6867,0.9482,0.8957070231594803,0.8760911316136321
slide,0.05,2000,adam,0.2,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
hinge,0.05,2000,adam,0.2,0.01,0.01,0.8247,0.5948,0.9697,0.9550367162492939,0.9452268875917907
slide,0.05,2000,adam,5.0,0.01,0.01,0.8481,0.6712,0.9616,0.9130107324421013,0.8942873281867822
slide,0.05,2000,adam,0.5,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
hinge,0.05,2000,adam,5.0,0.01,0.01,0.8514,0.6858,0.9558,0.8947090943325177,0.8764338166070419
hinge,0.05,2000,adam,0.5,0.01,0.01,0.8249,0.5949,0.9699,0.9552250047072114,0.9454942572020334
slide,0.05,2000,adam,6.0,0.01,0.01,0.8475,0.6666,0.9612,0.9172660515910376,0.8983468273394841
slide,0.05,2000,adam,1.0,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
hinge,0.05,2000,adam,6.0,0.01,0.01,0.8526,0.6833,0.9559,0.9003389192242517,0.8817360195819995
hinge,0.05,2000,adam,1.0,0.01,0.01,0.8249,0.5946,0.9701,0.9553568066277537,0.9457427979664846
slide,0.05,2000,adam,7.0,0.01,0.01,0.8477,0.666,0.964,0.9157409150819055,0.8993221615514968
slide,0.05,2000,adam,2.0,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
hinge,0.05,2000,adam,7.0,0.01,0.01,0.852,0.6847,0.9529,0.8974016192807381,0.8785916023347771
hinge,0.05,2000,adam,2.0,0.01,0.01,0.8247,0.5941,0.9701,0.9555262662398796,0.945938617962719
slide,0.05,2000,adam,3.0,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
slide,0.05,2000,adam,8.0,0.01,0.01,0.8462,0.664,0.9627,0.9156279420071549,0.8977066465825644
hinge,0.05,2000,adam,3.0,0.01,0.01,0.8241,0.5923,0.9708,0.9562041046883827,0.9468348710224063
hinge,0.05,2000,adam,8.0,0.01,0.01,0.8518,0.6825,0.9548,0.8997740538504991,0.8808284692148372
slide,0.05,2000,adam,4.0,0.01,0.01,0.8243,0.5946,0.9693,0.9548860854829598,0.9449971756731312
slide,0.05,2000,adam,9.0,0.01,0.01,0.8473,0.6644,0.9595,0.9163999246846168,0.8993183957823386
