slide,0.05,2000,adam,0.0,0.01,0.01,0.8532,0.7731,0.9175,0.914771971131699,0.8885181962430261
slide,0.05,2000,adam,0.0,0.01,0.01,0.8449,0.7571,0.9351,0.9389568511030352,0.919191278087731
hinge,0.05,2000,adam,0.0,0.01,0.01,0.8532,0.7731,0.9175,0.914771971131699,0.8885181962430261
hinge,0.05,2000,adam,0.0,0.01,0.01,0.8449,0.7571,0.9351,0.9389568511030352,0.919191278087731
slide,0.05,2000,adam,0.01,0.01,0.01,0.8543,0.7747,0.9377,0.9191636382249067,0.8931330296360751
slide,0.05,2000,adam,0.01,0.01,0.01,0.845,0.7573,0.9349,0.9400931565747045,0.9205046834212008
hinge,0.05,2000,adam,0.01,0.01,0.01,0.8536,0.7745,0.9138,0.9157649587961304,0.8882827455597073
hinge,0.05,2000,adam,0.01,0.01,0.01,0.8448,0.7571,0.935,0.9392434867175103,0.9195946153452424
slide,0.05,2000,adam,0.1,0.01,0.01,0.8526,0.773,0.9508,0.919388851921994,0.8941321594922454
slide,0.05,2000,adam,0.1,0.01,0.01,0.8328,0.7261,0.9418,0.972779853611097,0.9598014024671139
hinge,0.05,2000,adam,0.1,0.01,0.01,0.8551,0.7766,0.919,0.9179607923427343,0.8930183753902852
hinge,0.05,2000,adam,0.1,0.01,0.01,0.8447,0.7562,0.937,0.9414239647847673,0.9218969135486512
slide,0.05,2000,adam,0.2,0.01,0.01,0.8545,0.7779,0.8707,0.9213901827302042,0.8944556482571531
slide,0.05,2000,adam,0.2,0.01,0.01,0.8329,0.7258,0.9402,0.973189333060347,0.9603327020525158
hinge,0.05,2000,adam,0.2,0.01,0.01,0.8537,0.7741,0.9316,0.9192967190459128,0.8923007626554743
hinge,0.05,2000,adam,0.2,0.01,0.01,0.8443,0.7553,0.938,0.9437016942212214,0.924500179147259
slide,0.05,2000,adam,0.5,0.01,0.01,0.8456,0.7614,0.8696,0.941045196294211,0.92003275835594
slide,0.05,2000,adam,0.5,0.01,0.01,0.8328,0.7251,0.9395,0.9735373905922097,0.9605640579413421
hinge,0.05,2000,adam,0.5,0.01,0.01,0.8535,0.7729,0.9142,0.920187336848032,0.8934380918257664
hinge,0.05,2000,adam,0.5,0.01,0.01,0.8419,0.7507,0.9379,0.949260377744792,0.931622050468342
slide,0.05,2000,adam,1.0,0.01,0.01,0.8434,0.7547,0.9174,0.949081230485745,0.9277903465219838
slide,0.05,2000,adam,1.0,0.01,0.01,0.8327,0.7249,0.9395,0.9734862056610534,0.960513896708809
hinge,0.05,2000,adam,1.0,0.01,0.01,0.8384,0.7429,0.9391,0.9568306290628038,0.9402978962993294
hinge,0.05,2000,adam,1.0,0.01,0.01,0.8524,0.7725,0.9136,0.9236679121666582,0.8993939704151099
slide,0.05,2000,adam,2.0,0.01,0.01,0.8327,0.7249,0.9393,0.9734606131954753,0.9605190152019247
slide,0.05,2000,adam,2.0,0.01,0.01,0.8435,0.7525,0.9264,0.9528382044326149,0.9334943952500384
hinge,0.05,2000,adam,2.0,0.01,0.01,0.8349,0.7331,0.9415,0.9660439166709321,0.9517878896452885
hinge,0.05,2000,adam,2.0,0.01,0.01,0.8514,0.769,0.8739,0.9300250806162667,0.9060715565337564
slide,0.05,2000,adam,3.0,0.01,0.01,0.8327,0.725,0.9393,0.9735476275784409,0.9605640579413421
slide,0.05,2000,adam,3.0,0.01,0.01,0.843,0.7504,0.9377,0.9541536571633311,0.9346163689409837
hinge,0.05,2000,adam,3.0,0.01,0.01,0.8336,0.7284,0.9425,0.9707119823923837,0.9571244305676408
hinge,0.05,2000,adam,3.0,0.01,0.01,0.8514,0.7692,0.8836,0.9307928545836106,0.9066786098172698
slide,0.05,2000,adam,4.0,0.01,0.01,0.8327,0.7249,0.9393,0.9735015611404002,0.9605435839688795
slide,0.05,2000,adam,4.0,0.01,0.01,0.8429,0.749,0.9487,0.9546962174335875,0.9360956134513999
hinge,0.05,2000,adam,4.0,0.01,0.01,0.8327,0.7254,0.9425,0.9734247837436658,0.960506730818447
hinge,0.05,2000,adam,4.0,0.01,0.01,0.8505,0.7679,0.8451,0.9354199723601373,0.9113855760864
slide,0.05,2000,adam,5.0,0.01,0.01,0.8326,0.7247,0.9395,0.9736653529201004,0.960652096022931
slide,0.05,2000,adam,5.0,0.01,0.01,0.8429,0.7504,0.9353,0.9573475968674823,0.9385187080923376
hinge,0.05,2000,adam,5.0,0.01,0.01,0.8313,0.7211,0.9426,0.9764856426268106,0.9638204432615038
hinge,0.05,2000,adam,5.0,0.01,0.01,0.8495,0.768,0.8805,0.9341557045605773,0.9109085325280236
slide,0.05,2000,adam,6.0,0.01,0.01,0.8325,0.7246,0.9395,0.9737421303168348,0.9607810820494448
slide,0.05,2000,adam,6.0,0.01,0.01,0.8426,0.7483,0.9505,0.9574294927573322,0.9367528279674464
hinge,0.05,2000,adam,6.0,0.01,0.01,0.8307,0.7182,0.9433,0.9779341761785331,0.966427803654604
hinge,0.05,2000,adam,6.0,0.01,0.01,0.8508,0.7682,0.8702,0.932282336080258,0.9073399191278088
slide,0.05,2000,adam,7.0,0.01,0.01,0.8326,0.7246,0.9398,0.9736960638787941,0.9607329682141578
slide,0.05,2000,adam,7.0,0.01,0.01,0.8416,0.7464,0.9489,0.9579259865895481,0.9372933408404565
hinge,0.05,2000,adam,7.0,0.01,0.01,0.8297,0.7149,0.9433,0.979526027537493,0.9684373240517992
